date,miner,blocks,percent
2015-09-11,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,2093,0.40711923750243145
2015-09-11,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,144,0.028010114763664655
2015-09-12,*Outros,2845,0.5660565061679268
2015-09-12,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1946,0.3871866295264624
2015-09-12,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,235,0.046756864305610824
2015-09-13,*Outros,2769,0.5570307785153893
2015-09-13,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1963,0.39489036411184875
2015-09-13,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,239,0.04807885737276202
2015-09-14,*Outros,2665,0.549371263656978
2015-09-14,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1983,0.40878169449598023
2015-09-14,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,203,0.04184704184704185
2015-09-15,*Outros,2698,0.5572077653862041
2015-09-15,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1934,0.39942172655927305
2015-09-15,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,210,0.04337050805452292
2015-09-16,*Outros,2815,0.567998385794996
2015-09-16,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1918,0.3870056497175141
2015-09-16,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,223,0.04499596448748991
2015-09-17,*Outros,2751,0.5721713810316139
2015-09-17,0x2a65aca4d5fc5b5c859090a6c34d164135398226,3,0.0006239600665557404
2015-09-17,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1849,0.384567387687188
2015-09-17,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,205,0.04263727121464226
2015-09-18,*Outros,2719,0.5561464512170178
2015-09-18,0x2a65aca4d5fc5b5c859090a6c34d164135398226,52,0.01063612190632031
2015-09-18,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1889,0.3863775823276744
2015-09-18,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,229,0.04683984454898752
2015-09-19,*Outros,2887,0.5685309176841276
2015-09-19,0x2a65aca4d5fc5b5c859090a6c34d164135398226,62,0.012209531311539977
2015-09-19,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1922,0.37849547065773925
2015-09-19,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,207,0.040764080346593144
2015-09-20,*Outros,2971,0.5600377002827521
2015-09-20,0x2a65aca4d5fc5b5c859090a6c34d164135398226,70,0.013195098963242224
2015-09-20,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,2018,0.3803958529688973
2015-09-20,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,246,0.04637134778510839
2015-09-21,*Outros,2772,0.5462068965517242
2015-09-21,0x2a65aca4d5fc5b5c859090a6c34d164135398226,75,0.014778325123152709
2015-09-21,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1995,0.3931034482758621
2015-09-21,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,233,0.04591133004926108
2015-09-22,*Outros,2745,0.5434567412393585
2015-09-22,0x2a65aca4d5fc5b5c859090a6c34d164135398226,112,0.022173826964957434
2015-09-22,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,2,0.0003959611958028113
2015-09-22,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1956,0.38725004949514946
2015-09-22,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,236,0.04672342110473174
2015-09-23,*Outros,2880,0.5575992255566312
2015-09-23,0x2a65aca4d5fc5b5c859090a6c34d164135398226,181,0.03504356243949661
2015-09-23,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,3,0.0005808325266214908
2015-09-23,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1871,0.3622458857696031
2015-09-23,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,230,0.044530493707647625
2015-09-24,*Outros,2769,0.5514837681736706
2015-09-24,0x2a65aca4d5fc5b5c859090a6c34d164135398226,255,0.050786695877315276
2015-09-24,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,41,0.008165704043019318
2015-09-24,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1701,0.33877713602867954
2015-09-24,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,255,0.050786695877315276
2015-09-25,*Outros,2871,0.5600858369098712
2015-09-25,0x2a65aca4d5fc5b5c859090a6c34d164135398226,237,0.0462348809988295
2015-09-25,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,85,0.016582130316035896
2015-09-25,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1726,0.3367147873585642
2015-09-25,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,207,0.04038236441669918
2015-09-26,*Outros,2643,0.536105476673428
2015-09-26,0x2a65aca4d5fc5b5c859090a6c34d164135398226,250,0.05070993914807302
2015-09-26,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,98,0.019878296146044624
2015-09-26,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1732,0.3513184584178499
2015-09-26,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,207,0.04198782961460446
2015-09-27,*Outros,2540,0.5321600670437879
2015-09-27,0x2a65aca4d5fc5b5c859090a6c34d164135398226,270,0.056568196103079824
2015-09-27,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,92,0.019275089042530905
2015-09-27,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1636,0.34276136601718
2015-09-27,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,235,0.04923528179342133
2015-09-28,*Outros,2604,0.5495989869143099
2015-09-28,0x2a65aca4d5fc5b5c859090a6c34d164135398226,228,0.048121570282819756
2015-09-28,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,89,0.01878429717180245
2015-09-28,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1578,0.3330519206416209
2015-09-28,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,239,0.050443224989447026
2015-09-29,*Outros,2727,0.5877155172413793
2015-09-29,0x2a65aca4d5fc5b5c859090a6c34d164135398226,236,0.05086206896551724
2015-09-29,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,111,0.023922413793103448
2015-09-29,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1338,0.28836206896551725
2015-09-29,0xf8b483dba2c3b7176a3da549ad41a48bb3121069,228,0.04913793103448276
2015-09-30,*Outros,2852,0.5995375236493589
2015-09-30,0x2a65aca4d5fc5b5c859090a6c34d164135398226,255,0.053605213369770865
2015-09-30,0x4bb96091ee9d802ed039c4d1a5f6216f90f81b01,136,0.02858944713054446
2015-09-30,0x52bc44d5378309ee2abf1539bf71de1b7d7be3b5,1278,0.26865671641791045
