date,guessed_miner,blocks,percent
2011-10-12,*Desconhecido,1,1.0
2011-10-13,*Desconhecido,9682,1.0
2011-10-14,*Desconhecido,1122,1.0
2011-10-15,*Desconhecido,762,1.0
2011-10-16,*Desconhecido,915,1.0
2011-10-17,*Desconhecido,773,1.0
2011-10-18,*Desconhecido,826,1.0
2011-10-19,*Desconhecido,643,1.0
2011-10-20,*Desconhecido,759,1.0
2011-10-21,*Desconhecido,831,1.0
2011-10-22,*Desconhecido,728,1.0
2011-10-23,*Desconhecido,828,1.0
2011-10-24,*Desconhecido,596,1.0
2011-10-25,*Desconhecido,523,1.0
2011-10-26,*Desconhecido,577,1.0
2011-10-27,*Desconhecido,427,1.0
2011-10-28,*Desconhecido,451,1.0
2011-10-29,*Desconhecido,580,1.0
2011-10-30,*Desconhecido,736,1.0
2011-10-31,*Desconhecido,660,1.0
2011-11-01,*Desconhecido,876,1.0
2011-11-02,*Desconhecido,1239,1.0
2011-11-03,*Desconhecido,904,1.0
2011-11-04,*Desconhecido,931,1.0
2011-11-05,*Desconhecido,593,1.0
2011-11-06,*Desconhecido,627,1.0
2011-11-07,*Desconhecido,584,1.0
2011-11-08,*Desconhecido,534,1.0
2011-11-09,*Desconhecido,543,1.0
2011-11-10,*Desconhecido,526,1.0
2011-11-11,*Desconhecido,577,1.0
2011-11-12,*Desconhecido,581,1.0
2011-11-13,*Desconhecido,559,1.0
2011-11-14,*Desconhecido,586,1.0
2011-11-15,*Desconhecido,592,1.0
2011-11-16,*Desconhecido,569,1.0
2011-11-17,*Desconhecido,623,1.0
2011-11-18,*Desconhecido,621,1.0
2011-11-19,*Desconhecido,599,1.0
2011-11-20,*Desconhecido,647,1.0
2011-11-21,*Desconhecido,587,1.0
2011-11-22,*Desconhecido,553,1.0
2011-11-23,*Desconhecido,587,1.0
2011-11-24,*Desconhecido,511,1.0
2011-11-25,*Desconhecido,581,1.0
2011-11-26,*Desconhecido,579,1.0
2011-11-27,*Desconhecido,606,1.0
2011-11-28,*Desconhecido,593,1.0
2011-11-29,*Desconhecido,569,1.0
2011-11-30,*Desconhecido,720,1.0
2011-12-01,*Desconhecido,711,1.0
2011-12-02,*Desconhecido,743,1.0
2011-12-03,*Desconhecido,769,1.0
2011-12-04,*Desconhecido,636,1.0
2011-12-05,*Desconhecido,527,1.0
2011-12-06,*Desconhecido,588,1.0
2011-12-07,*Desconhecido,579,1.0
2011-12-08,*Desconhecido,536,1.0
2011-12-09,*Desconhecido,509,1.0
2011-12-10,*Desconhecido,571,1.0
2011-12-11,*Desconhecido,600,1.0
2011-12-12,*Desconhecido,596,1.0
2011-12-13,*Desconhecido,356,1.0
2011-12-14,*Desconhecido,378,1.0
2011-12-15,*Desconhecido,484,1.0
2011-12-16,*Desconhecido,601,1.0
2011-12-17,*Desconhecido,590,1.0
2011-12-18,*Desconhecido,635,1.0
2011-12-19,*Desconhecido,539,1.0
2011-12-20,*Desconhecido,555,1.0
2011-12-21,*Desconhecido,641,1.0
2011-12-22,*Desconhecido,752,1.0
2011-12-23,*Desconhecido,399,1.0
2011-12-24,*Desconhecido,283,1.0
2011-12-25,*Desconhecido,275,1.0
2011-12-26,*Desconhecido,329,1.0
2011-12-27,*Desconhecido,344,1.0
2011-12-28,*Desconhecido,434,1.0
2011-12-29,*Desconhecido,1200,1.0
2011-12-30,*Desconhecido,990,1.0
2011-12-31,*Desconhecido,570,1.0
2012-01-01,*Desconhecido,564,1.0
2012-01-02,*Desconhecido,632,1.0
2012-01-03,*Desconhecido,628,1.0
2012-01-04,*Desconhecido,634,1.0
2012-01-05,*Desconhecido,631,1.0
2012-01-06,*Desconhecido,538,1.0
2012-01-07,*Desconhecido,440,1.0
2012-01-08,*Desconhecido,279,1.0
2012-01-09,*Desconhecido,199,1.0
2012-01-10,*Desconhecido,194,1.0
2012-01-11,*Desconhecido,244,1.0
2012-01-12,*Desconhecido,562,1.0
2012-01-13,*Desconhecido,1021,1.0
2012-01-14,*Desconhecido,853,1.0
2012-01-15,*Desconhecido,323,1.0
2012-01-16,*Desconhecido,315,1.0
2012-01-17,*Desconhecido,258,1.0
2012-01-18,*Desconhecido,237,1.0
2012-01-19,*Desconhecido,169,1.0
2012-01-20,*Desconhecido,217,1.0
2012-01-21,*Desconhecido,226,1.0
2012-01-22,*Desconhecido,411,1.0
2012-01-23,*Desconhecido,547,1.0
2012-01-24,*Desconhecido,440,1.0
2012-01-25,*Desconhecido,576,1.0
2012-01-26,*Desconhecido,601,1.0
2012-01-27,*Desconhecido,642,1.0
2012-01-28,*Desconhecido,904,1.0
2012-01-29,*Desconhecido,1032,1.0
2012-01-30,*Desconhecido,962,1.0
2012-01-31,*Desconhecido,361,1.0
2012-02-01,*Desconhecido,474,1.0
2012-02-02,*Desconhecido,657,1.0
2012-02-03,*Desconhecido,735,1.0
2012-02-04,*Desconhecido,864,1.0
2012-02-05,*Desconhecido,873,1.0
2012-02-06,*Desconhecido,596,1.0
2012-02-07,*Desconhecido,614,1.0
2012-02-08,*Desconhecido,624,1.0
2012-02-09,*Desconhecido,567,1.0
2012-02-10,*Desconhecido,538,1.0
2012-02-11,*Desconhecido,624,1.0
2012-02-12,*Desconhecido,608,1.0
2012-02-13,*Desconhecido,617,1.0
2012-02-14,*Desconhecido,599,1.0
2012-02-15,*Desconhecido,616,1.0
2012-02-16,*Desconhecido,570,1.0
2012-02-17,*Desconhecido,589,1.0
2012-02-18,*Desconhecido,608,1.0
2012-02-19,*Desconhecido,624,1.0
2012-02-20,*Desconhecido,569,1.0
2012-02-21,*Desconhecido,632,1.0
2012-02-22,*Desconhecido,584,1.0
2012-02-23,*Desconhecido,638,1.0
2012-02-24,*Desconhecido,498,1.0
2012-02-25,*Desconhecido,545,1.0
2012-02-26,*Desconhecido,609,1.0
2012-02-27,*Desconhecido,432,1.0
2012-02-28,*Desconhecido,481,1.0
2012-02-29,*Desconhecido,382,1.0
2012-03-01,*Desconhecido,489,1.0
2012-03-02,*Desconhecido,753,1.0
2012-03-03,*Desconhecido,967,1.0
2012-03-04,*Desconhecido,743,1.0
2012-03-05,*Desconhecido,480,1.0
2012-03-06,*Desconhecido,467,1.0
2012-03-07,*Desconhecido,336,1.0
2012-03-08,*Desconhecido,410,1.0
2012-03-09,*Desconhecido,398,1.0
2012-03-10,*Desconhecido,368,1.0
2012-03-11,*Desconhecido,443,1.0
2012-03-12,*Desconhecido,413,1.0
2012-03-13,*Desconhecido,652,1.0
2012-03-14,*Desconhecido,758,1.0
2012-03-15,*Desconhecido,663,1.0
2012-03-16,*Desconhecido,602,1.0
2012-03-17,*Desconhecido,563,1.0
2012-03-18,*Desconhecido,651,1.0
2012-03-19,*Desconhecido,723,1.0
2012-03-20,*Desconhecido,701,1.0
2012-03-21,*Desconhecido,717,1.0
2012-03-22,*Desconhecido,570,1.0
2012-03-23,*Desconhecido,513,1.0
2012-03-24,*Desconhecido,509,1.0
2012-03-25,*Desconhecido,467,1.0
2012-03-26,*Desconhecido,551,1.0
2012-03-27,*Desconhecido,580,1.0
2012-03-28,*Desconhecido,597,1.0
2012-03-29,*Desconhecido,635,1.0
2012-03-30,*Desconhecido,590,1.0
2012-03-31,*Desconhecido,565,1.0
2012-04-01,*Desconhecido,581,1.0
2012-04-02,*Desconhecido,542,1.0
2012-04-03,*Desconhecido,542,1.0
2012-04-04,*Desconhecido,507,1.0
2012-04-05,*Desconhecido,477,1.0
2012-04-06,*Desconhecido,559,1.0
2012-04-07,*Desconhecido,615,1.0
2012-04-08,*Desconhecido,628,1.0
2012-04-09,*Desconhecido,620,1.0
2012-04-10,*Desconhecido,660,1.0
2012-04-11,*Desconhecido,525,1.0
2012-04-12,*Desconhecido,575,1.0
2012-04-13,*Desconhecido,574,1.0
2012-04-14,*Desconhecido,551,1.0
2012-04-15,*Desconhecido,548,1.0
2012-04-16,*Desconhecido,580,1.0
2012-04-17,*Desconhecido,555,1.0
2012-04-18,*Desconhecido,554,1.0
2012-04-19,*Desconhecido,542,1.0
2012-04-20,*Desconhecido,539,1.0
2012-04-21,*Desconhecido,507,1.0
2012-04-22,*Desconhecido,536,1.0
2012-04-23,*Desconhecido,549,1.0
2012-04-24,*Desconhecido,637,1.0
2012-04-25,*Desconhecido,491,1.0
2012-04-26,*Desconhecido,459,1.0
2012-04-27,*Desconhecido,480,1.0
2012-04-28,*Desconhecido,490,1.0
2012-04-29,*Desconhecido,537,1.0
2012-04-30,*Desconhecido,597,1.0
2012-05-01,*Desconhecido,654,1.0
2012-05-02,*Desconhecido,592,1.0
2012-05-03,*Desconhecido,567,1.0
2012-05-04,*Desconhecido,468,1.0
2012-05-05,*Desconhecido,459,1.0
2012-05-06,*Desconhecido,563,1.0
2012-05-07,*Desconhecido,534,1.0
2012-05-08,*Desconhecido,594,1.0
2012-05-09,*Desconhecido,564,1.0
2012-05-10,*Desconhecido,571,1.0
2012-05-11,*Desconhecido,582,1.0
2012-05-12,*Desconhecido,560,1.0
2012-05-13,*Desconhecido,580,1.0
2012-05-14,*Desconhecido,611,1.0
2012-05-15,*Desconhecido,521,1.0
2012-05-16,*Desconhecido,502,1.0
2012-05-17,*Desconhecido,501,1.0
2012-05-18,*Desconhecido,453,1.0
2012-05-19,*Desconhecido,515,1.0
2012-05-20,*Desconhecido,606,1.0
2012-05-21,*Desconhecido,617,1.0
2012-05-22,*Desconhecido,636,1.0
2012-05-23,*Desconhecido,601,1.0
2012-05-24,*Desconhecido,662,1.0
2012-05-25,*Desconhecido,686,1.0
2012-05-26,*Desconhecido,555,1.0
2012-05-27,*Desconhecido,480,1.0
2012-05-28,*Desconhecido,523,1.0
2012-05-29,*Desconhecido,491,1.0
2012-05-30,*Desconhecido,580,1.0
2012-05-31,*Desconhecido,570,1.0
2012-06-01,*Desconhecido,547,1.0
2012-06-02,*Desconhecido,594,1.0
2012-06-03,*Desconhecido,557,1.0
2012-06-04,*Desconhecido,561,1.0
2012-06-05,*Desconhecido,645,1.0
2012-06-06,*Desconhecido,647,1.0
2012-06-07,*Desconhecido,552,1.0
2012-06-08,*Desconhecido,595,1.0
2012-06-09,*Desconhecido,644,1.0
2012-06-10,*Desconhecido,550,1.0
2012-06-11,*Desconhecido,549,1.0
2012-06-12,*Desconhecido,590,1.0
2012-06-13,*Desconhecido,605,1.0
2012-06-14,*Desconhecido,589,1.0
2012-06-15,*Desconhecido,631,1.0
2012-06-16,*Desconhecido,576,1.0
2012-06-17,*Desconhecido,558,1.0
2012-06-18,*Desconhecido,584,1.0
2012-06-19,*Desconhecido,526,1.0
2012-06-20,*Desconhecido,525,1.0
2012-06-21,*Desconhecido,597,1.0
2012-06-22,*Desconhecido,661,1.0
2012-06-23,*Desconhecido,685,1.0
2012-06-24,*Desconhecido,803,1.0
2012-06-25,*Desconhecido,842,1.0
2012-06-26,*Desconhecido,635,1.0
2012-06-27,*Desconhecido,616,1.0
2012-06-28,*Desconhecido,721,1.0
2012-06-29,*Desconhecido,652,1.0
2012-06-30,*Desconhecido,621,1.0
2012-07-01,*Desconhecido,653,1.0
2012-07-02,*Desconhecido,604,1.0
2012-07-03,*Desconhecido,645,1.0
2012-07-04,*Desconhecido,759,1.0
2012-07-05,*Desconhecido,734,1.0
2012-07-06,*Desconhecido,816,1.0
2012-07-07,*Desconhecido,835,1.0
2012-07-08,*Desconhecido,994,1.0
2012-07-09,*Desconhecido,926,1.0
2012-07-10,*Desconhecido,613,1.0
2012-07-11,*Desconhecido,600,1.0
2012-07-12,*Desconhecido,536,1.0
2012-07-13,*Desconhecido,518,1.0
2012-07-14,*Desconhecido,599,1.0
2012-07-15,*Desconhecido,648,1.0
2012-07-16,*Desconhecido,590,1.0
2012-07-17,*Desconhecido,659,1.0
2012-07-18,*Desconhecido,657,1.0
2012-07-19,*Desconhecido,620,1.0
2012-07-20,*Desconhecido,605,1.0
2012-07-21,*Desconhecido,648,1.0
2012-07-22,*Desconhecido,590,1.0
