date,guessed_miner,blocks,percent
2009-01-09,*Desconhecido,14,1.0
2009-01-10,*Desconhecido,61,1.0
2009-01-11,*Desconhecido,93,1.0
2009-01-12,*Desconhecido,94,1.0
2009-01-13,*Desconhecido,123,1.0
2009-01-14,*Desconhecido,129,1.0
2009-01-15,*Desconhecido,126,1.0
2009-01-16,*Desconhecido,108,1.0
2009-01-17,*Desconhecido,109,1.0
2009-01-18,*Desconhecido,107,1.0
2009-01-19,*Desconhecido,115,1.0
2009-01-20,*Desconhecido,114,1.0
2009-01-21,*Desconhecido,102,1.0
2009-01-22,*Desconhecido,91,1.0
2009-01-23,*Desconhecido,84,1.0
2009-01-24,*Desconhecido,201,1.0
2009-01-25,*Desconhecido,191,1.0
2009-01-26,*Desconhecido,96,1.0
2009-01-27,*Desconhecido,97,1.0
2009-01-28,*Desconhecido,112,1.0
2009-01-29,*Desconhecido,121,1.0
2009-01-30,*Desconhecido,117,1.0
2009-01-31,*Desconhecido,138,1.0
2009-02-01,*Desconhecido,113,1.0
2009-02-02,*Desconhecido,128,1.0
2009-02-03,*Desconhecido,139,1.0
2009-02-04,*Desconhecido,119,1.0
2009-02-05,*Desconhecido,126,1.0
2009-02-06,*Desconhecido,122,1.0
2009-02-07,*Desconhecido,129,1.0
2009-02-08,*Desconhecido,132,1.0
2009-02-09,*Desconhecido,134,1.0
2009-02-10,*Desconhecido,120,1.0
2009-02-11,*Desconhecido,133,1.0
2009-02-12,*Desconhecido,119,1.0
2009-02-13,*Desconhecido,124,1.0
2009-02-14,*Desconhecido,136,1.0
2009-02-15,*Desconhecido,128,1.0
2009-02-16,*Desconhecido,122,1.0
2009-02-17,*Desconhecido,117,1.0
2009-02-18,*Desconhecido,118,1.0
2009-02-19,*Desconhecido,124,1.0
2009-02-20,*Desconhecido,122,1.0
2009-02-21,*Desconhecido,114,1.0
2009-02-22,*Desconhecido,121,1.0
2009-02-23,*Desconhecido,108,1.0
2009-02-24,*Desconhecido,106,1.0
2009-02-25,*Desconhecido,105,1.0
2009-02-26,*Desconhecido,107,1.0
2009-02-27,*Desconhecido,115,1.0
2009-02-28,*Desconhecido,99,1.0
2009-03-01,*Desconhecido,105,1.0
2009-03-02,*Desconhecido,108,1.0
2009-03-03,*Desconhecido,105,1.0
2009-03-04,*Desconhecido,104,1.0
2009-03-05,*Desconhecido,112,1.0
2009-03-06,*Desconhecido,117,1.0
2009-03-07,*Desconhecido,109,1.0
2009-03-08,*Desconhecido,115,1.0
2009-03-09,*Desconhecido,108,1.0
2009-03-10,*Desconhecido,107,1.0
2009-03-11,*Desconhecido,114,1.0
2009-03-12,*Desconhecido,118,1.0
2009-03-13,*Desconhecido,113,1.0
2009-03-14,*Desconhecido,110,1.0
2009-03-15,*Desconhecido,123,1.0
2009-03-16,*Desconhecido,121,1.0
2009-03-17,*Desconhecido,114,1.0
2009-03-18,*Desconhecido,114,1.0
2009-03-19,*Desconhecido,122,1.0
2009-03-20,*Desconhecido,118,1.0
2009-03-21,*Desconhecido,50,1.0
2009-03-22,*Desconhecido,119,1.0
2009-03-23,*Desconhecido,130,1.0
2009-03-24,*Desconhecido,105,1.0
2009-03-25,*Desconhecido,117,1.0
2009-03-26,*Desconhecido,117,1.0
2009-03-27,*Desconhecido,106,1.0
2009-03-28,*Desconhecido,119,1.0
2009-03-29,*Desconhecido,116,1.0
2009-03-30,*Desconhecido,120,1.0
2009-03-31,*Desconhecido,110,1.0
2009-04-01,*Desconhecido,114,1.0
2009-04-02,*Desconhecido,115,1.0
2009-04-03,*Desconhecido,116,1.0
2009-04-04,*Desconhecido,113,1.0
2009-04-05,*Desconhecido,130,1.0
2009-04-06,*Desconhecido,109,1.0
2009-04-07,*Desconhecido,100,1.0
2009-04-08,*Desconhecido,105,1.0
2009-04-09,*Desconhecido,99,1.0
2009-04-10,*Desconhecido,108,1.0
2009-04-11,*Desconhecido,120,1.0
2009-04-12,*Desconhecido,118,1.0
2009-04-13,*Desconhecido,115,1.0
2009-04-14,*Desconhecido,124,1.0
2009-04-15,*Desconhecido,113,1.0
2009-04-16,*Desconhecido,123,1.0
2009-04-17,*Desconhecido,112,1.0
2009-04-18,*Desconhecido,126,1.0
2009-04-19,*Desconhecido,119,1.0
2009-04-20,*Desconhecido,119,1.0
2009-04-21,*Desconhecido,123,1.0
2009-04-22,*Desconhecido,121,1.0
2009-04-23,*Desconhecido,75,1.0
2009-04-24,*Desconhecido,115,1.0
2009-04-25,*Desconhecido,118,1.0
2009-04-26,*Desconhecido,112,1.0
2009-04-27,*Desconhecido,104,1.0
2009-04-28,*Desconhecido,117,1.0
2009-04-29,*Desconhecido,128,1.0
2009-04-30,*Desconhecido,131,1.0
2009-05-01,*Desconhecido,121,1.0
2009-05-02,*Desconhecido,126,1.0
2009-05-03,*Desconhecido,106,1.0
2009-05-04,*Desconhecido,128,1.0
2009-05-05,*Desconhecido,135,1.0
2009-05-06,*Desconhecido,135,1.0
2009-05-07,*Desconhecido,122,1.0
2009-05-08,*Desconhecido,107,1.0
2009-05-09,*Desconhecido,78,1.0
2009-05-10,*Desconhecido,85,1.0
2009-05-11,*Desconhecido,120,1.0
2009-05-12,*Desconhecido,130,1.0
2009-05-13,*Desconhecido,111,1.0
2009-05-14,*Desconhecido,139,1.0
2009-05-15,*Desconhecido,136,1.0
2009-05-16,*Desconhecido,119,1.0
2009-05-17,*Desconhecido,127,1.0
2009-05-18,*Desconhecido,118,1.0
2009-05-19,*Desconhecido,86,1.0
2009-05-20,*Desconhecido,120,1.0
2009-05-21,*Desconhecido,82,1.0
2009-05-22,*Desconhecido,61,1.0
2009-05-23,*Desconhecido,32,1.0
2009-05-24,*Desconhecido,100,1.0
2009-05-25,*Desconhecido,109,1.0
2009-05-26,*Desconhecido,125,1.0
2009-05-27,*Desconhecido,119,1.0
2009-05-28,*Desconhecido,95,1.0
2009-05-29,*Desconhecido,106,1.0
2009-05-30,*Desconhecido,109,1.0
2009-05-31,*Desconhecido,96,1.0
2009-06-01,*Desconhecido,71,1.0
2009-06-02,*Desconhecido,111,1.0
2009-06-03,*Desconhecido,71,1.0
2009-06-04,*Desconhecido,66,1.0
2009-06-05,*Desconhecido,30,1.0
2009-06-06,*Desconhecido,28,1.0
2009-06-07,*Desconhecido,16,1.0
2009-06-08,*Desconhecido,82,1.0
2009-06-09,*Desconhecido,91,1.0
2009-06-10,*Desconhecido,82,1.0
2009-06-11,*Desconhecido,89,1.0
2009-06-12,*Desconhecido,86,1.0
2009-06-13,*Desconhecido,78,1.0
2009-06-14,*Desconhecido,72,1.0
2009-06-15,*Desconhecido,84,1.0
2009-06-16,*Desconhecido,71,1.0
2009-06-17,*Desconhecido,79,1.0
2009-06-18,*Desconhecido,80,1.0
2009-06-19,*Desconhecido,87,1.0
2009-06-20,*Desconhecido,78,1.0
2009-06-21,*Desconhecido,81,1.0
2009-06-22,*Desconhecido,76,1.0
2009-06-23,*Desconhecido,76,1.0
2009-06-24,*Desconhecido,95,1.0
2009-06-25,*Desconhecido,68,1.0
2009-06-26,*Desconhecido,90,1.0
2009-06-27,*Desconhecido,84,1.0
2009-06-28,*Desconhecido,46,1.0
2009-06-29,*Desconhecido,83,1.0
2009-06-30,*Desconhecido,85,1.0
2009-07-01,*Desconhecido,74,1.0
2009-07-02,*Desconhecido,83,1.0
2009-07-03,*Desconhecido,82,1.0
2009-07-04,*Desconhecido,89,1.0
2009-07-05,*Desconhecido,79,1.0
2009-07-06,*Desconhecido,84,1.0
2009-07-07,*Desconhecido,69,1.0
2009-07-08,*Desconhecido,74,1.0
2009-07-09,*Desconhecido,86,1.0
2009-07-10,*Desconhecido,81,1.0
2009-07-11,*Desconhecido,83,1.0
2009-07-12,*Desconhecido,77,1.0
2009-07-13,*Desconhecido,78,1.0
2009-07-14,*Desconhecido,69,1.0
2009-07-15,*Desconhecido,45,1.0
2009-07-16,*Desconhecido,71,1.0
2009-07-17,*Desconhecido,47,1.0
2009-07-18,*Desconhecido,4,1.0
2009-07-19,*Desconhecido,70,1.0
2009-07-20,*Desconhecido,70,1.0
2009-07-21,*Desconhecido,82,1.0
2009-07-22,*Desconhecido,60,1.0
2009-07-23,*Desconhecido,76,1.0
2009-07-24,*Desconhecido,73,1.0
2009-07-25,*Desconhecido,32,1.0
2009-07-26,*Desconhecido,21,1.0
2009-07-27,*Desconhecido,74,1.0
2009-07-28,*Desconhecido,41,1.0
2009-07-29,*Desconhecido,19,1.0
2009-07-30,*Desconhecido,15,1.0
2009-07-31,*Desconhecido,17,1.0
2009-08-01,*Desconhecido,28,1.0
2009-08-02,*Desconhecido,23,1.0
2009-08-03,*Desconhecido,12,1.0
2009-08-04,*Desconhecido,81,1.0
2009-08-05,*Desconhecido,87,1.0
2009-08-06,*Desconhecido,90,1.0
2009-08-07,*Desconhecido,80,1.0
2009-08-08,*Desconhecido,80,1.0
2009-08-09,*Desconhecido,101,1.0
2009-08-10,*Desconhecido,75,1.0
2009-08-11,*Desconhecido,70,1.0
2009-08-12,*Desconhecido,63,1.0
2009-08-13,*Desconhecido,85,1.0
2009-08-14,*Desconhecido,63,1.0
2009-08-15,*Desconhecido,26,1.0
2009-08-16,*Desconhecido,19,1.0
2009-08-17,*Desconhecido,17,1.0
2009-08-18,*Desconhecido,10,1.0
2009-08-19,*Desconhecido,18,1.0
2009-08-20,*Desconhecido,22,1.0
2009-08-21,*Desconhecido,14,1.0
2009-08-22,*Desconhecido,7,1.0
2009-08-23,*Desconhecido,15,1.0
2009-08-24,*Desconhecido,15,1.0
2009-08-25,*Desconhecido,50,1.0
2009-08-26,*Desconhecido,48,1.0
2009-08-27,*Desconhecido,29,1.0
2009-08-28,*Desconhecido,75,1.0
2009-08-29,*Desconhecido,78,1.0
2009-08-30,*Desconhecido,97,1.0
2009-08-31,*Desconhecido,86,1.0
2009-09-01,*Desconhecido,78,1.0
2009-09-02,*Desconhecido,66,1.0
2009-09-03,*Desconhecido,61,1.0
2009-09-04,*Desconhecido,64,1.0
2009-09-05,*Desconhecido,76,1.0
2009-09-06,*Desconhecido,68,1.0
2009-09-07,*Desconhecido,78,1.0
2009-09-08,*Desconhecido,69,1.0
2009-09-09,*Desconhecido,54,1.0
2009-09-10,*Desconhecido,67,1.0
2009-09-11,*Desconhecido,67,1.0
2009-09-12,*Desconhecido,69,1.0
2009-09-13,*Desconhecido,75,1.0
