date,guessed_miner,blocks,percent
2014-01-19,*Desconhecido,8278,1.0
2014-01-20,*Desconhecido,765,1.0
2014-01-21,*Desconhecido,454,1.0
2014-01-22,*Desconhecido,99,1.0
2014-01-23,*Desconhecido,79,1.0
2014-01-24,*Desconhecido,85,1.0
2014-01-25,*Desconhecido,72,1.0
2014-01-26,*Desconhecido,64,1.0
2014-01-27,*Desconhecido,327,1.0
2014-01-28,*Desconhecido,781,1.0
2014-01-29,*Desconhecido,428,1.0
2014-01-30,*Desconhecido,859,1.0
2014-01-31,*Desconhecido,345,1.0
2014-02-01,*Desconhecido,558,1.0
2014-02-02,*Desconhecido,821,1.0
2014-02-03,*Desconhecido,776,1.0
2014-02-04,*Desconhecido,644,1.0
2014-02-05,*Desconhecido,817,1.0
2014-02-06,*Desconhecido,820,1.0
2014-02-07,*Desconhecido,493,1.0
2014-02-08,*Desconhecido,951,1.0
2014-02-09,*Desconhecido,728,1.0
2014-02-10,*Desconhecido,96,1.0
2014-02-11,*Desconhecido,613,1.0
2014-02-12,*Desconhecido,567,1.0
2014-02-13,*Desconhecido,575,1.0
2014-02-14,*Desconhecido,565,1.0
2014-02-15,*Desconhecido,596,1.0
2014-02-16,*Desconhecido,588,1.0
2014-02-17,*Desconhecido,599,1.0
2014-02-18,*Desconhecido,579,1.0
2014-02-19,*Desconhecido,577,1.0
2014-02-20,*Desconhecido,585,1.0
2014-02-21,*Desconhecido,581,1.0
2014-02-22,*Desconhecido,575,1.0
2014-02-23,*Desconhecido,565,1.0
2014-02-24,*Desconhecido,583,1.0
2014-02-25,*Desconhecido,557,1.0
2014-02-26,*Desconhecido,556,1.0
2014-02-27,*Desconhecido,581,1.0
2014-02-28,*Desconhecido,579,1.0
2014-03-01,*Desconhecido,588,1.0
2014-03-02,*Desconhecido,566,1.0
2014-03-03,*Desconhecido,585,1.0
2014-03-04,*Desconhecido,575,1.0
2014-03-05,*Desconhecido,563,1.0
2014-03-06,*Desconhecido,576,1.0
2014-03-07,*Desconhecido,564,1.0
2014-03-08,*Desconhecido,582,1.0
2014-03-09,*Desconhecido,584,1.0
2014-03-10,*Desconhecido,570,1.0
2014-03-11,*Desconhecido,566,1.0
2014-03-12,*Desconhecido,579,1.0
2014-03-13,*Desconhecido,591,1.0
2014-03-14,*Desconhecido,568,1.0
2014-03-15,*Desconhecido,566,1.0
2014-03-16,*Desconhecido,578,1.0
2014-03-17,*Desconhecido,570,1.0
2014-03-18,*Desconhecido,574,1.0
2014-03-19,*Desconhecido,571,1.0
2014-03-20,*Desconhecido,568,1.0
2014-03-21,*Desconhecido,576,1.0
2014-03-22,*Desconhecido,576,1.0
2014-03-23,*Desconhecido,577,1.0
2014-03-24,*Desconhecido,574,1.0
2014-03-25,*Desconhecido,574,1.0
2014-03-26,*Desconhecido,570,1.0
2014-03-27,*Desconhecido,573,1.0
2014-03-28,*Desconhecido,578,1.0
2014-03-29,*Desconhecido,574,1.0
