date,miner,blocks,percent
2020-01-09,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,51,0.00781010719754977
2020-01-09,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,36,0.005513016845329249
2020-01-09,2MinersPool,45,0.006891271056661562
2020-01-09,BTC.com,99,0.015160796324655437
2020-01-09,BeePool,52,0.007963246554364471
2020-01-09,Ethermine,1541,0.23598774885145482
2020-01-09,F2Pool,683,0.10459418070444104
2020-01-09,Nanopool,523,0.08009188361408882
2020-01-09,SparkPool,2063,0.31592649310872895
2020-01-10,*Outros,1195,0.18241489848878034
2020-01-10,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,259,0.039535948710120596
2020-01-10,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,44,0.006716531827201954
2020-01-10,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,38,0.005800641123492597
2020-01-10,2MinersPool,47,0.007174477179056633
2020-01-10,BTC.com,101,0.01541749351244085
2020-01-10,BeePool,62,0.009464203938330026
2020-01-10,Ethermine,1416,0.21615020607540833
2020-01-10,F2Pool,731,0.11158601740192337
2020-01-10,Nanopool,540,0.08243016333384216
2020-01-10,SparkPool,2118,0.32330941840940314
2020-01-11,*Outros,1123,0.1720281862745098
2020-01-11,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,290,0.04442401960784314
2020-01-11,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,37,0.005667892156862745
2020-01-11,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,26,0.003982843137254902
2020-01-11,2MinersPool,45,0.006893382352941176
2020-01-11,BTC.com,99,0.015165441176470588
2020-01-11,BeePool,62,0.009497549019607842
2020-01-11,Ethermine,1449,0.22196691176470587
2020-01-11,F2Pool,697,0.10677083333333333
2020-01-11,Nanopool,537,0.0822610294117647
2020-01-11,SparkPool,2163,0.3313419117647059
2020-01-12,*Outros,1262,0.19370683039140446
2020-01-12,0x04668ec2f57cc15c381b461b9fedab5d451c8f7f,240,0.03683806600153492
2020-01-12,0x4c549990a7ef3fea8784406c1eecc98bf4211fa5,52,0.007981580966999233
2020-01-12,0xd224ca0c819e8e97ba0136b3b95ceff503b79f53,42,0.006446661550268611
2020-01-12,2MinersPool,45,0.006907137375287797
2020-01-12,BTC.com,99,0.015195702225633155
2020-01-12,BeePool,72,0.011051419800460476
2020-01-12,Ethermine,1427,0.2190330007674597
2020-01-12,F2Pool,665,0.10207214121258634
2020-01-12,Nanopool,543,0.08334612432847276
2020-01-12,SparkPool,2068,0.31742133537989253
